path	classification	suffix	size	mtime_utc	mode	shebang	sha256
output/audits/20260721_225815_42a2cf_fragmentation_20260726/audit_fusion_fragmentation.py	code_candidate	.py	23088	2026-07-26T13:40:52.845667+00:00	0644	#!/usr/bin/env python3	7e1cad083eaf0c34e660c0c3f2049736334064c8cbdd60b3f84aa1d8791b4874
output/audits/20260721_225815_42a2cf_fragmentation_20260726/audit_resolution_collapse.py	code_candidate	.py	37110	2026-07-26T14:32:48.762984+00:00	0644	#!/usr/bin/env python3	2c9b2efe29347531f4cba32b7a43d1c664ac55991cd820424d473e361eeed9c8
output/audits/20260721_225815_42a2cf_fragmentation_20260726/fusion_fragmentation_audit.json	supporting_text	.json	69398	2026-07-26T13:44:14.074625+00:00	0664		a9e1cbf8d301f15238a0517a625b43259714031a5d29d76bac459b69e11a2375
output/audits/20260721_225815_42a2cf_fragmentation_20260726/fusion_fragmentation_audit.progress.json	supporting_text	.json	246	2026-07-26T13:44:14.074625+00:00	0664		9ff3ba5f75797bf3b1ca940607e1dc3ab8ab68381afb6502e195871b9a22fe2b
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_collapse_0p25m_to_3m.json	supporting_text	.json	114575	2026-07-26T14:35:02.308284+00:00	0664		1e278f765ea4a2c26d326326d9d7a6c77099de2e847d8b408004f0cb68c27ff2
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_collapse_0p25m_to_3m.progress.json	supporting_text	.json	250	2026-07-26T14:35:02.308284+00:00	0664		2e16e090bef017d02bfde4d3f4fd3e180c7e18ddec9ef09b2da30dacfbe9678b
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_collapse_0p25m_to_3m.time.txt	supporting_text	.txt	1424	2026-07-26T14:35:02.354284+00:00	0664		d8c24cb0c04f06dccf8e57895887224e3ecbd7ceadf6aa86ab2aef06a862a46d
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_smoke_v2.json	supporting_text	.json	58550	2026-07-26T14:04:51.884669+00:00	0664		3aae938f34deafd319681ceb4f9997bc1873e1fa4872f4a886290d5aa65c97c1
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_smoke_v2.progress.json	supporting_text	.json	239	2026-07-26T14:04:51.884669+00:00	0664		7121eed3899837b596c288b013cf5f898358496ce4e1dfac22dbaf424ec3cd11
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_smoke_v3.json	supporting_text	.json	67850	2026-07-26T14:33:30.425389+00:00	0664		b87bffd0b57b53697db78f37c86869bcbd0b9930388d03c77de5aeeb2c67a4dc
output/audits/20260721_225815_42a2cf_fragmentation_20260726/resolution_smoke_v3.progress.json	supporting_text	.json	240	2026-07-26T14:33:30.425389+00:00	0664		c477e3d5dbda1cf7a7e72db769932ba281a30d5758d3b262efae09d33ab16e33
output/audits/20260721_225815_42a2cf_fragmentation_20260726/smoke.json	supporting_text	.json	35882	2026-07-26T13:39:15.155716+00:00	0664		6e0cb02ee4e897bd237332feed2b34ab8417da7c9d64fd9c58b5f196c23c0be9
output/audits/20260721_225815_42a2cf_fragmentation_20260726/smoke.progress.json	supporting_text	.json	226	2026-07-26T13:39:15.155716+00:00	0664		5777289072f6cc6800077ad94c419cfc69316f097fc750afd14e4a20b0462ed8
output/recovery/20260721_225815_42a2cf_20260725_143949/assemble_stream.queue_fix.stage.py	code_candidate	.py	37425	2026-07-25T14:41:53.369556+00:00	0755		dc86d1d96fb6603de417e7b5b20a3d1f4e69f20bcc55d53444d91aa8ffd3eaac
output/recovery/20260721_225815_42a2cf_20260725_143949/backups/assemble_stream.py.pre_queue_fix_20260725	code_candidate	.pre_queue_fix_20260725	20460	2026-07-21T10:02:04.200000+00:00	0755		78f27b219b64e65c00a5a99264a2aeb936dd8b1ef29ba119862c7890f64e9997
output/recovery/20260721_225815_42a2cf_20260725_143949/backups/reconcile_v5_run.log.finalizer_regression_20260726	supporting_text	.finalizer_regression_20260726	2779	2026-07-26T05:50:11.584877+00:00	0664		8f6402d0d8ad07d8a60c35c168279699895ac0690f75b5c6cdb077fc2e8e949d
output/recovery/20260721_225815_42a2cf_20260725_143949/backups/reconcile_v5_run.py.pre_skip_finalizer_20260726	code_candidate	.pre_skip_finalizer_20260726	2563	2026-07-26T05:48:23.293823+00:00	0750	#!/usr/bin/env python3	adf1ad4ddaa47edd48c6df025b77a24cb34f098428128a6b434db075a793fec7
output/recovery/20260721_225815_42a2cf_20260725_143949/backups/scale_acceptance.py.pre_streaming_20260726	code_candidate	.pre_streaming_20260726	12167	2026-07-26T05:02:40.804138+00:00	0755	#!/usr/bin/env python3	385c097a1a8d93f6510ae9dcfa04617d36b2722e1db349df16f895262e8ee324
output/recovery/20260721_225815_42a2cf_20260725_143949/fusion_full_assembly.log	supporting_text	.log	17990	2026-07-26T01:00:25.257710+00:00	0664		95f67fd12b07c848662841ff00159fe0707cd040240c4553bc7eba2bf198d801
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/finalize_rasters.log	supporting_text	.log	1487	2026-07-25T07:00:08.920971+00:00	0664		4e0dc9b708deb3f816e633bbb129b0ad3362cceb883b928b7066e4ac0fee1cb9
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/formal_resume_runner.jsonl	supporting_text	.jsonl	46090	2026-07-25T10:03:17.728910+00:00	0664		8ceb6cf623699c418ce486bee8b7cff3f0dc5c7316a1483e81fc1d14b21b1663
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/package_00195.log	supporting_text	.log	124651	2026-07-25T06:45:38.036496+00:00	0664		8a6cc56e9842b4f88b7bcdb2a74c906bd35732c9926d6282a2fb3c162803dfa7
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/package_00461.log	supporting_text	.log	126091	2026-07-25T06:49:47.195920+00:00	0664		6195fc87e0f8215bfe5e40d8c37b257847e8cfa6f7260fa3e637b60d641b800c
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/package_01396.log	supporting_text	.log	1235	2026-07-25T06:50:02.278067+00:00	0664		e95125a4224e7776ce5771c23ef3cba5ebc459a583d9ef1426d05304c7e729ab
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/recovery.jsonl	supporting_text	.jsonl	41087	2026-07-25T07:04:33.612547+00:00	0664		69bd8c42ece79ac4f35dda77d43a640a6327df2cf475fdaf41b5dd193ab04d1c
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/units/15183.log	supporting_text	.log	944	2026-07-25T06:53:24.440034+00:00	0664		84efce3cd58766b155416a6b6b0ea22e9dbc129539bfe139db359277f959513d
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/units/15184.log	supporting_text	.log	944	2026-07-25T06:53:50.736290+00:00	0664		93445f96895d1990d340752714c86ec7cfef3b22fa39ed11d406ae16bd563fad
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/units/18379.log	supporting_text	.log	952	2026-07-25T06:52:07.213283+00:00	0664		eac0dc32266f3bdb1d45203fa2f91d9c701bc819bfc974fe045a426e3b88c474
output/recovery/20260721_225815_42a2cf_20260725_143949/logs/units/18380.log	supporting_text	.log	954	2026-07-25T06:52:07.911290+00:00	0664		68ebdbb5e4952cf206ede2c2093c4ca297a751a5754bb293e6d43a0f57b4b40b
